Company,Country
RADIAL ENERGY INC,US
MULTIPLEX SERVICES INC,US
PREMIER ENERGY CORP,US
C&D PRODUCTION INC,US
PETROKAZAKHSTAN INC,CA
OSLO CHALLENGER PLC,NO
Petroflow Energy Ltd,CA
ESCO Corp,US
SAMEX MINING CORP,CA
North American Energy Partners Inc,CA
IMPERIAL OIL LTD,CA
FRONTIER ENERGY CORP,US
WORTHINGTON ENERGY INC,US
TESORO CORP,US
MV Oil Trust,US
GLOBAL PARTNERS LP,US
SEADRILL LTD,BM
Noble Corp Ltd,GB
ReoStar Energy CORP,US
STATOIL ASA,NO
NEW FRONTIER ENERGY INC,US
SARATOGA RESOURCES INC,US
Capital City Energy Group Inc,US
PDC 2003 DRILLING PROGRAM I,US
KESTREL ENERGY INC,US
GFY FOODS INC,US
EQUAL ENERGY LTD,CA
Alon USA Energy Inc,US
TEPPCO PARTNERS LP,US
PEDEVCO CORP,US
J BIRD MUSIC GROUP LTD,US
SUNOCO INC,US
AVIVA PETROLEUM INC,US
CASPIAN ENERGY INTERNATIONAL INC,US
LUKE ENERGY LTD,CA
Petrobras Global Finance B.V.,NL
TORREY CHARLES P JR,US
Spotlight Innovation Inc,US
HESS CORP,US
VICTORY ENERGY CORP,US
Triton Distribution Systems Inc,US
WPX ENERGY INC,US
SCHLUMBERGER LTD,AN
LESUER KEN R,US
DREW ERNEST H,US
KEYSTONE INTERNATIONAL FUND INC,US
WESTERN OIL SANDS INC,CA
Breitling Energy Corp,US
Petro River Oil Corp,US
Northern Tier Finance Corp,US
Northern Tier Energy LLC,US
Franks International N.V.,NL
PLATINUM ENERGY RESOURCES INC,US
MORAN ENERGY INC,US
BP CAPITAL MARKETS PLC,GB
STERLING DRILLING FUND 1983 2,US
MERIDIAN RESOURCE CORP,US
APOLLO RESOURCES INTERNATIONAL INC,US
GEORESOURCES INC,US
GulfStar Energy Corp,US
SandRidge Mississippian Trust I,US
PC Financial Partnership,US
MAGELLAN PETROLEUM CORP,US
Rice Energy Inc,US
EOTT ENERGY PARTNERS LP,US
SOUTHWEST DEVELOPMENTAL DRILLING FUND 91 A LP,US
Eos Petro Inc,US
PEMEX PROJECT FUNDING MASTER TRUST,US
CALCITECH LTD,CH
CAMERON INTERNATIONAL CORP,US
HOWELL CORP,US
WSP Holdings LTD,KY
EDGE PETROLEUM CORP,US
PLAINS RESOURCES INC,US
TERRA ENERGY & RESOURCE TECHNOLOGIES INC,US
GRANT GEOPHYSICAL INC,US
Triangle Petroleum Corp,US
EARTH SEARCH SCIENCES INC,US
REEF GLOBAL ENERGY VENTURES,US
Aurora Oil & Gas CORP,US
SPINNAKER EXPLORATION CO,US
ASPEN GROUP RESOURCES CORP,CA
BIG SKY ENERGY CORP,US
DYNAMIC OIL & GAS INC,CA
CORE LABORATORIES N V,NL
Amrose Oil Co Inc,US
PVR MARCELLUS GAS GATHERING LLC,US
Forbes Energy Services LLC,US
REMINGTON OIL & GAS CORP,US
Atrisco Oil & Gas LLC,US
NETCO SILVER INC,CA
TOT Energy,US
LIFESMART NUTRITION TECHNOLOGIES INC,US
PREMCOR INC,US
Canetic Resources Trust,CA
DENVER PARENT Corp,US
LUCAS ENERGY INC,US
STRATFORD AMERICAN CORP,US
MATRIX ENERGY SERVICES CORP,US
FIELDPOINT PETROLEUM CORP,US
TEXACO INC,US
RIDGEWOOD ENERGY S FUND LLC,US
PANHANDLE OIL & GAS INC,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP III F,US
DESERT MINING INC,US
TEXLAND DRILLING PROGRAM 1981,US
TIDELANDS OIL & GAS CORP,US
NOVA BIOSOURCE FUELS INC,US
China Integrated Energy Inc,US
PETROLEUM GEO SERVICES ASA,US
ALBERTA ENERGY CO LTD,NULL
CNOOC LTD,US
MARATHON OIL CORP,US
Midstates Petroleum Co Inc,US
True North Energy CORP,US
Resolute Energy Partners LP,US
RIDGEWOOD ENERGY Q FUND LLC,US
LONE PINE RESOURCES CANADA LTD,CA
Transmeridian Exploration Inc,VG
New Concept Energy Inc,US
UNIT CORP,US
FUTURE ENERGY CORP,US
PDC ENERGY INC,US
NABORS INDUSTRIES INC,US
EPIC ENERGY RESOURCES INC,US
REPSOL INTERNATIONAL CAPITAL LTD,KY
OCEAN ENERGY INC,US
ION GEOPHYSICAL CORP,US
Reef Global Energy IV LP,US
Pacific Asia China Energy Inc,CA
GENESIS ENERGY LP,US
WHITING USA TRUST I,US
ENERGY XXI (BERMUDA) LTD,BM
VENUS EXPLORATION INC,US
SOUTHWEST ROYALTIES INC INCOME FUND VI,US
Seadrill Partners LLC,MH
ALLEN MARK C,US
Colony Energy Inc,US
iCarbon CORP,US
NELX INC,US
Malaysia Pro Guardians Security Management Corp,US
LRR Energy LP,US
OCTAGON 88 RESOURCES INC,US
NOMAC DRILLING LLC,US
JOY GLOBAL INC,US
STAFFORD ENERGY INC,US
VENEZUELAN NATIONAL PETROLEUM CO,VE
CENTIRE INTERNATIONAL INC,US
Baytex Energy USA Ltd,US
REEF GLOBAL ENERGY I LP,US
PLAINS E&P CO,US
Noble Holding International Ltd,KY
SHARP DAVID W,US
WEDEMEYER PHIL D,US
PETROHAWK ENERGY CORP,US
Rosetta Resources Inc,US
Indigo Energy Inc,US
ENERGY & TECHNOLOGY CORP,US
Horsepower Holdings Inc,US
EL PASO PRODUCTION HOLDING CO,US
Buckeye Oil & Gas Inc,US
Hiland Partners LP,US
PETROMINERALS CORP,US
PETROL INDUSTRIES INC,US
AvStar Aviation Group Inc,US
ASSURE ENERGY INC,US
MITSUI & CO LTD,JP
CARBON ENERGY CORP,US
Applied Natural Gas Fuels Inc,US
CHEVRON PHILLIPS CHEMICAL CO LP,US
COUGAR OIL & GAS CANADA INC,CA
Perkins Oil & Gas Inc,US
ATLAS AMERICA PUBLIC #12 2003 Limited Partnership,US
EXXON MOBIL CORP,US
HYPERDYNAMICS CORP,US
AUSTRAL PACIFIC ENERGY LTD,CA
Park Place Energy Corp,US
PETRO HORIZON ENERGY CORP,CA
ARCO CHEMICAL TECHNOLOGY INC,US
LYONDELL CHEMICAL TECHNOLOGY LP,US
BILL BARRETT CORP,US
GEODYNE ENERGY INCOME LTD PARTNERSHIP II B,US
NXT Energy Solutions Inc,CA
PETROQUEST ENERGY INC,US
PLATINUM ENERGY SOLUTIONS INC,US
AMERIRESOURCE TECHNOLOGIES INC,US
B FAST CORP,US
Diamondback Energy Inc,US
American Sands Energy Corp,US
LIONS GATE INVESTMENT LTD,US
SOUTHWEST ROYALTIES INSTITUTIONAL INCOME FUND X C LP,US
FORUM ENERGY TECHNOLOGIES INC,US
EMPIRE PETROLEUM CORP,US
GASTAR EXPLORATION INC,US
Colorado 2000C Limited Partnership,US
Repsol SA,ES
EMPIRE ENERGY CORP,US
American Resource Technologies Inc,US
RAM ENERGY INC,US
CHOATE JERRY D,US
SOUTHWEST DEVELOPMENTAL DRILLING FUND 92 A LP,US
KEY PRODUCTION CO INC,US
PETROFUND ENERGY TRUST,CA
Savoy Energy Corp,US
Sync2 Networks Corp,US
Transocean Ltd,CH
Coil Tubing Technology Holdings Inc,US
KERR BREENE M,US
China Hefeng Rescue Equipment Inc,US
HEIZER EDGAR JR,US
VTEX ENERGY INC,US
Coffeyville Resources Inc,US
